product_name,brands,categories_en,origins_en,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
Haut de Cuisse de Poulet,La Nouvelle Agriculture,"Meats,Fresh meats,Poultries,Chickens,Chicken thighs",France,887.0,16.0,4.3,0.0,0.0,17.0,0.18,1.0
Aiguillettes de Poulet,La Nouvelle Agriculture,"Meats,Poultries,Chickens,fr:Aiguillettes de poulet",France,435.0,1.3,0.4,0.0,0.0,23.0,0.11,-4.0
Aiguillettes de Poulet,La Nouvelle Agriculture,"Meats,Fresh meats,Poultries,Chickens,fr:Aiguillettes de poulet",France,435.0,1.3,0.4,0.0,0.0,23.0,0.07400000000000001,-4.0
Aiguillettes de Poulet,La Nouvelle Agriculture,"Meats,Fresh meats,Poultries,Chickens,fr:Aiguillettes de poulet",France,435.0,1.3,0.4,0.1,0.1,23.0,0.11,-4.0
Aiguillette de poulet,La nouvelle agriculture,"Meats,Poultries,Chickens,fr:Aiguillettes de poulet",France,435.0,1.3,0.4,0.0,0.0,23.0,0.11,-4.0
6 Aiguillettes de Poulet,La Nouvelle Agriculture,"Meats,Poultries,Chickens,fr:Aiguillettes de poulet",France,435.0,1.3,0.4,0.0,0.0,23.0,0.11,-4.0
Aiguillettes de poulet,la nouvelle agriculture,"Meats,Poultries,Chickens,fr:Aiguillettes de poulet",France,1841.0,1.3,0.4,0.0,0.0,23.0,0.11,0.0
Aiguillettes de poulet,La nouvelle agriculture,"Meats,Poultries,Chickens,fr:Aiguillettes de poulet",France,435.0,13.0,0.4,0.0,0.0,23.0,0.11,-4.0
Filet de poulet,La Nouvelle Agriculture,"Meats,Poultries",France,435.0,1.3,0.4,0.0,0.0,23.0,0.11,-4.0
Filets de Poulet,La Nouvelle Agriculture,"Meats,Fresh meats,Poultries,Chickens,Chicken breasts",France,435.0,1.3,0.4,0.0,0.0,23.0,0.11,-4.0
Filet de poulet,la nouvelle agriculture,"Meats,Poultries,Chickens,Chicken breasts",France,435.0,1.3,0.4,0.0,0.0,23.0,0.11,-4.0
Filet de poulet,La nouvelle agriculture,"Meats,Fresh meats",France,0.0,1.0,0.0,8.0,8.0,23.0,0.0,-4.0
Cuisse de poulet,La nouvelle agriculture,"Meats,Poultries,Chickens,Chicken thighs",France,828.0,14.0,3.5,0.0,0.0,18.0,0.2,0.0
Cuisses de poulet,la nouvelle agriculture,"Meats,Poultries,Chickens,Chicken thighs",France,828.0,14.0,3.5,0.0,0.0,18.0,0.18,0.0
Cuisse de poulet,La Nouvelle Agriculture,"Meats,Poultries,Chickens,Chicken thighs",France,828.0,14.0,3.5,0.0,0.0,18.0,0.2,0.0
Cuisse de poulet,La Nouvelle Agriculture,"Meats,Poultries",France,828.0,14.0,3.5,0.0,0.0,18.0,0.18,0.0
Dinde noire fines escalopes,La nouvelle agriculture,"Meats,Poultries,Turkeys,Turkey cutlets",France,469.0,12.0,0.3,0.0,0.0,25.0,0.18,-4.0
Dinde noire fines escalopes,La nouvelle agriculture,fr:produit-frais-classe-a,France,1987.0,1.2,0.3,0.0,0.0,25.0,0.18,0.0
Jambon cuit supérieur decouenne tradition 2 tranches,Noixfine,"Meats,Prepared meats,Hams,White hams",France,653.0,8.0,3.2,0.9,0.9,20.0,2.0,12.0
cuisse de poulet rôtie,Maître Coq,"Meats,Poultries,Chickens,Cooked poultries,Cooked chicken,Roast chicken",France,299.0,3.42,0.983,1.15,0.0,8.97,0.513,-3.0
Morceaux choisis de poulet recette thym citron,Maître Coq,fr:morceaux-poulet-thym-citron,France,686.0,9.8,2.4,2.0,0.0,17.0,2.0,12.0
